Team,Goals For Per Game,Goals Allowed Per Game,+/- GPG,+/- GPG Z-Score,Hitting %,Opp Hitting %,+/- Hitting %,+/- Hitting % Z-Score,Points Per Game,Points Allowed Per Game,+/- PPG,+/- PPG Z-Score,Avg_Z_Score
Dayton,2.25,0.95,1.3,1.3435259677430835,0.302,0.131,0.17099999999999999,2.8356278531031434,,,,,2.0895769104231134
UT Arlington,,,,,0.281,0.157,0.12400000000000003,2.0360672375135267,,,,,2.0360672375135267
SFA,3.16,0.471,2.689,2.8072907203464488,0.241,0.173,0.068,1.0833992700024928,,,,,1.9453449951744708
Pittsburgh,2.22,1.222,0.9980000000000002,1.0252704203807972,0.336,0.109,0.22700000000000004,3.7882958206141777,36.7,25.11,11.590000000000003,0.7569646155959078,1.8568436188636275
Florida A&M,,,,,0.251,0.146,0.10500000000000001,1.7128406056794259,,,,,1.7128406056794259
Creighton,1.24,1.235,0.004999999999999893,-0.021179111177980367,0.318,0.127,0.191,3.175866412928513,,,,,1.5773436508752663
Texas,2.14,0.754,1.3860000000000001,1.4341550308992315,0.266,0.193,0.07300000000000001,1.1684589099588352,38.9,12.11,26.79,2.1004465537971,1.5676868315517225
South Dakota St.,1.95,0.71,1.24,1.2802963887969339,0.248,0.154,0.094,1.5257093977754728,,,,,1.4030028932862033
Lipscomb,2.29,0.614,1.6760000000000002,1.7397646624722884,0.26,0.2,0.06,0.9473038460723452,,,,,1.3435342542723168
Arkansas,3.61,0.714,2.896,3.0254327677106647,0.233,0.192,0.04100000000000001,0.6240772142382447,33.0,26.33,6.670000000000002,0.32210072507288995,1.3238702356739331
Penn St.,1.86,0.857,1.0030000000000001,1.0305395519596428,0.286,0.185,0.10099999999999998,1.6447928937143514,31.2,14.0,17.2,1.2528155151556897,1.3093826536098947
FGCU,2.26,1.1,1.1599999999999997,1.1959902835354006,0.249,0.162,0.087,1.4066259018365934,,,,,1.301308092685997
Bucknell,1.47,0.78,0.69,0.7006919151238952,0.234,0.119,0.11500000000000002,1.8829598855921106,,,,,1.2918259003580028
Col. of Charleston,2.1,0.85,1.25,1.2908346519546254,0.216,0.145,0.07100000000000001,1.1344350539762984,,,,,1.2126348529654618
Fairfield,2.48,0.762,1.718,1.784025367734593,0.239,0.198,0.04099999999999998,0.6240772142382442,,,,,1.2040512909864187
Princeton,2.17,0.556,1.6139999999999999,1.6744274308946,0.275,0.23,0.04500000000000001,0.6921249262033186,,,,,1.1832761785489594
Maine,1.82,0.706,1.114,1.1475142730100196,,,,,,,,,1.1475142730100196
Monmouth,1.95,0.85,1.1,1.1327607045892514,,,,,,,,,1.1327607045892514
Notre Dame,2.5,0.889,1.611,1.6712659519472928,0.189,0.213,-0.023999999999999994,-0.48169810519420486,38.3,11.11,27.189999999999998,2.1358013416444996,1.108456396132529
Howard,1.65,1.1,0.5499999999999998,0.5531562309162125,0.247,0.147,0.1,1.6277809657230835,,,,,1.090468598319648
UNI,1.95,1.368,0.5819999999999999,0.5868786730208256,0.251,0.155,0.096,1.5597332537580095,,,,,1.0733059633894175
Ohio St.,1.95,0.849,1.101,1.1338145309050205,0.203,0.207,-0.003999999999999976,-0.14145954536883548,38.6,10.67,27.93,2.2012076991621896,1.0645208948994582
Towson,1.26,0.895,0.365,0.3581983624989178,0.26,0.152,0.10800000000000001,1.7638763896532312,,,,,1.0610373760760745
SMU,1.88,1.706,0.17399999999999993,0.15691753618700793,0.276,0.175,0.10100000000000003,1.6447928937143523,40.1,21.78,18.32,1.3518089211284092,1.0511731170099232
Mercer,2.37,1.204,1.1660000000000001,1.2023132414300162,0.226,0.169,0.056999999999999995,0.8962680620985397,,,,,1.049290651764278
TCU,2.52,0.905,1.615,1.6754812572103694,0.264,0.195,0.069,1.1004111979937614,33.2,27.6,5.600000000000001,0.22752666758109547,1.0011397075950754
Auburn,2.58,0.789,1.791,1.8609546887857418,0.238,0.193,0.044999999999999984,0.6921249262033181,25.3,19.22,6.080000000000002,0.2699524129979753,0.9410106759956784
Louisville,1.39,1.278,0.11199999999999988,0.09158030460931987,0.257,0.139,0.118,1.9339956695659155,36.2,24.22,11.980000000000004,0.7914355337471226,0.9390038359741194
Wisconsin,1.33,0.889,0.44100000000000006,0.4382891624973741,0.303,0.168,0.13499999999999998,2.223198445417479,25.1,21.44,3.66,0.05605594652120632,0.9058478514786864
Kansas,1.64,0.859,0.7809999999999999,0.7965901098588888,0.297,0.196,0.10099999999999998,1.6447928937143514,31.7,25.89,5.809999999999999,0.24608793120098013,0.8958236449247402
North Carolina,2.19,1.0,1.19,1.2276050730084758,0.248,0.182,0.066,1.049375414019956,34.0,26.44,7.559999999999999,0.4007651280333543,0.8925818716872621
Army West Point,1.63,0.989,0.6409999999999999,0.6490544256512062,0.189,0.182,0.007000000000000006,0.045671662535117195,35.2,10.33,24.870000000000005,1.9307435721295814,0.875156553438635
Milwaukee,2.45,1.15,1.3000000000000003,1.3435259677430837,0.217,0.189,0.027999999999999997,0.4029221503517546,,,,,0.8732240590474192
Southern California,1.74,0.676,1.064,1.0948229572215615,0.235,0.169,0.06599999999999998,1.0493754140199556,30.6,22.22,8.380000000000003,0.47324244312052427,0.8724802714540137
Vanderbilt,2.06,0.667,1.393,1.4415318151096155,,,,,28.0,21.7,6.300000000000001,0.2893975463140451,0.8654646807118302
Arizona St.,1.68,1.421,0.2589999999999999,0.2464927730273866,0.277,0.161,0.11600000000000002,1.899971813583379,31.6,23.78,7.82,0.42374574013416433,0.8567367755816434
UConn,1.9,0.896,1.004,1.0315933782754119,0.233,0.179,0.05400000000000002,0.8452322781247348,31.7,21.3,10.399999999999999,0.6517841217498929,0.8428699260500131
Tulane,,,,,0.221,0.218,0.0030000000000000027,-0.02237604942995668,41.0,18.7,22.3,1.7035890602100372,0.8406065053900402
Boise St.,1.82,0.864,0.9560000000000001,0.9810097151184921,0.217,0.204,0.013000000000000012,0.14774323048272803,43.8,25.11,18.689999999999998,1.3845120998872538,0.8377550151628247
BYU,1.75,1.35,0.3999999999999999,0.3950822835508383,0.261,0.189,0.07200000000000001,1.1514469819675668,33.7,19.78,13.920000000000002,0.9629062548070114,0.8364785067751388
Tennessee,1.11,1.151,-0.040999999999999925,-0.06965512170336159,0.284,0.245,0.03899999999999998,0.5900533582557073,37.6,12.56,25.04,1.9457693569647259,0.8220558645056905
Minnesota,1.84,1.053,0.7870000000000001,0.802913067753504,0.245,0.175,0.07,1.1174231259850298,26.7,17.7,9.0,0.5280423642839938,0.8161261860075092
High Point,1.47,1.208,0.262,0.2496542519746942,0.251,0.166,0.08499999999999999,1.3726020458540564,,,,,0.8111281489143753
Indiana,1.65,1.118,0.5319999999999998,0.5341873572323675,0.209,0.239,-0.03,-0.5837696731418157,43.9,13.8,30.099999999999998,2.3930074232343332,0.7811417024416283
New Hampshire,1.39,0.778,0.6119999999999999,0.6184934624939005,0.225,0.166,0.059,0.9302919180810767,,,,,0.7743926902874886
James Madison,2.1,1.236,0.8640000000000001,0.8840576940677294,0.229,0.225,0.0040000000000000036,-0.005364121438688211,35.3,16.44,18.859999999999996,1.3995378847223985,0.7594104857838132
Stony Brook,2.35,1.0,1.35,1.3962172835315416,0.203,0.192,0.01100000000000001,0.11371937450019108,,,,,0.7549683290158663
Canisius,2.0,0.737,1.263,1.3045343940596246,0.213,0.197,0.015999999999999986,0.19877901445653295,,,,,0.7516567042580787
Miami (FL),1.12,1.294,-0.17399999999999993,-0.20981402170066005,0.242,0.192,0.04999999999999999,0.7771845661596605,45.0,23.1,21.9,1.6682342723626373,0.7452016056072126
Idaho,1.75,1.038,0.712,0.7238760940708167,,,,,,,,,0.7238760940708167
Texas St.,1.95,1.055,0.895,0.9167263098565732,0.236,0.2,0.035999999999999976,0.5390175742819019,33.1,22.0,11.100000000000001,0.7136550004828428,0.7231329615404393
Utah,1.42,1.0,0.41999999999999993,0.41615880986622156,0.26,0.166,0.094,1.5257093977754728,22.6,17.11,5.490000000000002,0.21780410092306057,0.719890769521585
South Carolina,2.05,0.95,1.0999999999999999,1.1327607045892512,0.227,0.216,0.01100000000000001,0.11371937450019108,30.2,17.56,12.64,0.849770933695332,0.6987503375949248
Hofstra,1.53,1.156,0.3740000000000001,0.36768279934084036,0.232,0.17,0.062,0.9813277020548821,,,,,0.6745052506978613
Oklahoma,2.11,1.167,0.9429999999999998,0.9673099730134929,0.266,0.203,0.063,0.9983396300461506,25.1,21.9,3.200000000000003,0.015397940496696778,0.6603491811854468
Western Caro.,2.48,0.476,2.004,2.0854196940445733,0.164,0.207,-0.04299999999999998,-0.8049247370283054,,,,,0.640247478508134
Oregon,0.83,1.833,-1.0030000000000001,-1.083436037473295,0.269,0.175,0.09400000000000003,1.5257093977754732,35.7,16.0,19.700000000000003,1.4737829392019388,0.638685433168039
Xavier,2.43,0.849,1.5810000000000002,1.639651162474218,0.206,0.223,-0.017000000000000015,-0.36261460925532607,,,,,0.6385182766094459
Georgetown,2.11,0.474,1.636,1.6976116098415217,0.21,0.231,-0.02100000000000002,-0.43066232122039994,,,,,0.6334746443105609
Radford,2.28,1.164,1.1159999999999999,1.1496219256415579,0.206,0.195,0.010999999999999982,0.11371937450019061,,,,,0.6316706500708742
Colorado St.,1.48,0.762,0.718,0.7301990519654317,0.295,0.204,0.091,1.4746736138016672,23.6,24.11,-0.509999999999998,-0.3125177167879365,0.6307849829930541
Saint Louis,2.29,0.481,1.8090000000000002,1.879923562469587,0.192,0.225,-0.033,-0.6348054571156211,,,,,0.6225590526769829
Nebraska,1.41,1.824,-0.41400000000000015,-0.462732337485259,0.295,0.162,0.13299999999999998,2.189174589434942,23.6,19.11,4.490000000000002,0.12941713130456106,0.6186197944180815
Pepperdine,2.1,1.15,0.9500000000000002,0.9746867572238773,0.22,0.201,0.01899999999999999,0.24981479843033838,,,,,0.6122507778271078
Florida St.,3.11,0.884,2.226,2.319369136145327,0.275,0.201,0.07400000000000001,1.1854708379501038,13.3,29.8,-16.5,-1.7258253609877439,0.5930048710358956
Texas A&M,1.47,1.263,0.20700000000000007,0.1916938046073904,0.247,0.184,0.063,0.9983396300461506,30.9,21.22,9.68,0.5881455036245734,0.5927263127593715
UC Davis,2.05,1.187,0.8629999999999998,0.8830038677519598,0.215,0.193,0.021999999999999992,0.3008505824041438,,,,,0.5919272250780518
Ole Miss,1.0,2.0,-1.0,-1.0802745585259874,0.234,0.191,0.04300000000000001,0.6581010702207817,40.7,12.9,27.800000000000004,2.189717393111785,0.5891813016021931
Utah Valley,2.68,1.684,0.9960000000000002,1.0231627677492587,0.208,0.195,0.012999999999999984,0.14774323048272756,,,,,0.5854529991159931
LMU (CA),1.72,1.167,0.5529999999999999,0.55631770986352,0.214,0.174,0.04000000000000001,0.6070652862469762,,,,,0.5816914980552481
Yale,1.5,1.375,0.125,0.10528004671431909,0.278,0.212,0.06600000000000003,1.0493754140199565,,,,,0.5773277303671378
Duke,3.18,0.765,2.415,2.5185423098256985,0.189,0.24,-0.05099999999999999,-0.9410201609584531,26.8,22.1,4.699999999999999,0.14797839492444573,0.5751668479305637
Liberty,1.95,0.619,1.331,1.3761945835319276,0.206,0.209,-0.0030000000000000027,-0.1244476173775675,30.9,22.62,8.279999999999998,0.46440374615867386,0.572050237437678
Santa Clara,2.16,0.842,1.318,1.3624948414269284,0.209,0.219,-0.010000000000000009,-0.24353111331644678,,,,,0.5594818640552408
Western Ky.,0.94,1.5,-0.56,-0.6165909795875565,0.302,0.194,0.10799999999999998,1.7638763896532308,30.3,22.11,8.190000000000001,0.4564489188930092,0.5345781096528945
Western Mich.,2.35,0.7,1.6500000000000001,1.7123651782622902,0.239,0.211,0.027999999999999997,0.4029221503517546,31.3,34.3,-2.9999999999999964,-0.532601271138,0.5275620191586815
Ohio,1.8,0.7,1.1,1.1327607045892514,0.228,0.213,0.015000000000000013,0.18176708646526496,26.6,20.67,5.93,0.25669436755520014,0.5237407195365722
Memphis,1.95,0.678,1.2719999999999998,1.3140188309015468,0.193,0.213,-0.01999999999999999,-0.413650393229131,33.5,23.1,10.399999999999999,0.6517841217498929,0.5173841864741029
Baylor,1.38,1.19,0.18999999999999995,0.17377875723931452,0.255,0.193,0.062,0.9813277020548821,33.6,26.11,7.490000000000002,0.39457804016005965,0.5165614998180854
Omaha,1.11,0.778,0.3320000000000001,0.3234220940785355,0.222,0.176,0.04600000000000001,0.709136854194587,,,,,0.5162794741365613
Delaware,0.95,0.946,0.0040000000000000036,-0.022232937493749414,0.241,0.175,0.066,1.049375414019956,,,,,0.5135712382631034
Quinnipiac,1.6,0.7,0.9000000000000001,0.9219954414354192,0.179,0.171,0.00799999999999998,0.0626835905263852,,,,,0.4923395159809022
Grand Canyon,1.35,1.053,0.29700000000000015,0.286538173026615,0.236,0.191,0.044999999999999984,0.6921249262033181,,,,,0.48933154961496655
Kentucky,1.58,0.684,0.896,0.9177801361723424,0.252,0.191,0.061,0.9643157740636137,19.0,20.78,-1.7800000000000011,-0.4247691682034311,0.4857755806775083
Iowa,1.84,0.52,1.32,1.364602494058467,0.203,0.236,-0.032999999999999974,-0.6348054571156206,29.4,18.2,11.2,0.7224936974446926,0.48409691146251294
Binghamton,1.67,1.427,0.24299999999999988,0.22963155197508,0.25,0.203,0.046999999999999986,0.7261487821858551,,,,,0.47789016708046755
East Carolina,1.2,0.78,0.41999999999999993,0.41615880986622156,0.235,0.185,0.04999999999999999,0.7771845661596605,32.4,26.78,5.619999999999997,0.22929440697346512,0.4742125943331157
Boston College,2.0,1.158,0.8420000000000001,0.8608735151208078,0.211,0.183,0.027999999999999997,0.4029221503517546,27.6,23.0,4.600000000000001,0.13913969796259595,0.46764512114505274
Washington,1.26,0.572,0.6880000000000001,0.6985842624923569,0.241,0.186,0.05499999999999999,0.8622442061160028,21.8,20.6,1.1999999999999993,-0.16137599874030256,0.4664841566226858
FDU,1.6,1.15,0.4500000000000002,0.44777359933929667,0.222,0.19,0.032,0.47096986231682847,,,,,0.4593717308280626
South Alabama,1.63,1.368,0.2619999999999998,0.24965425197469396,0.223,0.195,0.027999999999999997,0.4029221503517546,35.6,24.78,10.82,0.6889066489896628,0.44716101710537043
La Salle,1.67,1.222,0.44799999999999995,0.4456659467077581,,,,,,,,,0.4456659467077581
Illinois,1.78,1.333,0.44700000000000006,0.44461212039198905,0.235,0.188,0.046999999999999986,0.7261487821858551,25.9,21.11,4.789999999999999,0.15593322219011066,0.4422313749226516
Tennessee Tech,1.55,1.533,0.017000000000000126,-0.008533195388750187,0.218,0.162,0.055999999999999994,0.8792561341072713,,,,,0.43536146935926057
Duquesne,1.88,1.412,0.46799999999999997,0.46674247302314137,0.23,0.203,0.026999999999999996,0.3859102223604861,,,,,0.42632634769181377
Bowling Green,1.17,1.222,-0.052000000000000046,-0.0812472111768225,0.246,0.183,0.063,0.9983396300461506,27.1,20.2,6.900000000000002,0.3424297280851449,0.41984071565149095
Elon,1.72,0.944,0.776,0.7913209782800431,0.198,0.191,0.007000000000000006,0.045671662535117195,,,,,0.41849632040758017
Georgia Tech,,,,,0.239,0.2,0.03899999999999998,0.5900533582557073,27.7,21.9,5.800000000000001,0.24520406150479532,0.4176287098802513
Alabama,2.05,1.429,0.6209999999999998,0.6279778993358228,0.205,0.254,-0.049000000000000016,-0.9069963049759167,38.1,18.0,20.1,1.5091377270493385,0.4100397738030816
Vermont,1.67,1.262,0.4079999999999999,0.40351289407699165,,,,,,,,,0.40351289407699165
Portland,1.8,0.85,0.9500000000000001,0.9746867572238772,0.216,0.222,-0.006000000000000005,-0.1754834013513729,,,,,0.3996016779362522
Loyola Chicago,1.05,0.684,0.366,0.3592521888146869,0.245,0.215,0.03,0.43694600633429154,,,,,0.39809909757448925
Saint Joseph's,1.2,0.8,0.3999999999999999,0.3950822835508383,,,,,,,,,0.3950822835508383
USC Upstate,1.83,1.065,0.7650000000000001,0.7797288888065824,0.193,0.19,0.0030000000000000027,-0.02237604942995668,,,,,0.3786764196883129
North Texas,2.0,1.0,1.0,1.0273780730123352,0.226,0.212,0.014000000000000012,0.1647551584739965,36.6,34.33,2.270000000000003,-0.06680194124850775,0.3751104300792747
Georgia,1.55,0.95,0.6000000000000001,0.6058475467046708,0.222,0.235,-0.012999999999999984,-0.2945668972902517,30.6,18.44,12.16,0.8073451882784521,0.3728752792309571
Missouri,1.35,2.059,-0.7090000000000001,-0.7736111006371615,0.3,0.219,0.08099999999999999,1.3045543338889825,28.0,18.44,9.559999999999999,0.5775390672703533,0.3694941001740581
Southeastern La.,1.0,1.632,-0.6319999999999999,-0.692466474322936,0.244,0.156,0.088,1.4236378298278618,,,,,0.3655856777524629
American,1.33,1.533,-0.20299999999999985,-0.24037498485796563,0.227,0.167,0.06,0.9473038460723452,,,,,0.3534644306071898
Oklahoma St.,2.0,0.714,1.286,1.3287723993223153,,,,,27.8,31.9,-4.099999999999998,-0.6298269377183496,0.3494727308019828
Virginia,1.88,1.0,0.8799999999999999,0.9009189151200357,0.213,0.182,0.031,0.45395793432556003,26.0,26.67,-0.6700000000000017,-0.32665963192689673,0.3427390725062331
Detroit Mercy,1.85,1.5,0.3500000000000001,0.3423909677623804,,,,,,,,,0.3423909677623804
Texas Tech,2.15,0.7,1.45,1.5015999151084578,0.196,0.207,-0.010999999999999982,-0.2605430413077148,35.5,35.1,0.3999999999999986,-0.23208557443510222,0.3363237664552136
Utah Tech,1.35,1.412,-0.06199999999999983,-0.09178547433451388,0.214,0.168,0.045999999999999985,0.7091368541945866,,,,,0.30867568993003636
A&M-Corpus Christi,1.4,1.2,0.19999999999999996,0.18431702039700615,0.262,0.233,0.028999999999999998,0.4199340783430231,,,,,0.3021255493700146
Washington St.,1.37,1.053,0.31700000000000017,0.3076146993419982,0.198,0.207,-0.00899999999999998,-0.22651918532517784,39.3,27.0,12.299999999999997,0.8197193640250419,0.3002716260139541
